region_code,region_name,district_code,district_name,council_code,council_name,division_code,division_name,township_code,township_name,ward_code,ward_name,village_mtaa_code,village_mtaa_name
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100091,Ilboru Ward,100848,Meriti Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100091,Ilboru Ward,100847,Oltulelei Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100077,Ilkiding'a Ward,100237,Ilkiding'a Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100077,Ilkiding'a Ward,100239,Ilkisongo Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100077,Ilkiding'a Ward,100238,Oloigeruno Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100075,Kimnyak Ward,100233,Kimnyak Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100075,Kimnyak Ward,100232,Olevolos Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100075,Kimnyak Ward,100231,Olmuringaringa Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100086,Kiranyi Ward,100832,Ilkiurei Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100086,Kiranyi Ward,100834,Kiranyi Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100086,Kiranyi Ward,100833,Namayana Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100086,Kiranyi Ward,100831,Siwandeti Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100072,Laroi Ward,100222,Enjoro Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100072,Laroi Ward,100223,Kisima cha Mungu Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100072,Laroi Ward,100221,Laroi Village
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100089,Moivo Ward,100844,Ilkilorit Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100089,Moivo Ward,100841,Moivo Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100089,Moivo Ward,100842,Oloresho Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100089,Moivo Ward,100843,Sama Kitongoji
100001,Arusha,100030,Arumeru,100033,Arusha District Council,100039,Enaboishu,100059,Ngaramtoni,100074,Oljoro Ward,100230,Mbuyuni Village
